ID,%,Título,Estado,Departamento,Estrutura,Marcadores,Data Inicial,Data Final,Parecer Final
47008,0,U 1.1.1.1 - Aprimorar sistema de autoavaliação institucional | Comissão Própria de Avaliação - CPA (UA),pat_aprovado,Comissão Própria de Avaliação - CPA (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",,2026,2030,
56279,0,U 1.1.1.1 - Aprimorar sistema de autoavaliação institucional | Pró-Reitoria de Tecnologia da Informação e Comunicação - PROTIC (UG),pat_aprovado,Pró-Reitoria de Tecnologia da Informação e Comunicação - PROTIC (UG),,,2026,2030,
47363,0.1429,U 1.1.1.10 - Promover eventos para discussão dos resultados das autoavaliações e avaliações externas | Comissão Própria de Avaliação - CPA (UA),pat_aprovado,Comissão Própria de Avaliação - CPA (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) CPA,2026,2030,
47373,0,U 1.1.1.10 - Promover eventos para discussão dos resultados das autoavaliações e avaliações externas | Pró-Reitoria de Avaliação e Planejamento - PROAP (UG),pat_aprovado,Pró-Reitoria de Avaliação e Planejamento - PROAP (UG),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) CPA,2026,2030,
47368,0.3333,U 1.1.1.10 - Promover eventos para discussão dos resultados das autoavaliações e avaliações externas | Superintendência de Comunicação - SUCOM (UG),pat_aprovado,Superintendência de Comunicação - SUCOM (UG),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) CPA,2026,2030,
47378,1,U 1.1.1.11 - Realizar a autoavaliação institucional com elaboração do Relatório Anual | Comissão Própria de Avaliação - CPA (UA),pat_aprovado,Comissão Própria de Avaliação - CPA (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",,2026,2030,
47383,0.2,U 1.1.1.12 - Realizar divulgação da campanha da autoavaliação institucional para a comunidade interna e externa | Comissão Própria de Avaliação - CPA (UA),pat_aprovado,Comissão Própria de Avaliação - CPA (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) CPA,2026,2030,
47388,0,U 1.1.1.12 - Realizar divulgação da campanha da autoavaliação institucional para a comunidade interna e externa | Superintendência de Comunicação - SUCOM (UG),pat_aprovado,Superintendência de Comunicação - SUCOM (UG),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) CPA,2026,2030,
47048,0.48,U 1.1.1.3 - Desenvolver sistemática de produção de evidências como estratégia para melhoria das avaliações interna e externa | Pró-Reitoria de Graduação - PROGRAD (UG),pat_aprovado,Pró-Reitoria de Graduação - PROGRAD (UG),,1) Plano de Governo,2026,2030,
47058,0,U 1.1.1.4 - Executar pesquisa externa sobre a imagem da UFT elaborando plano de ação com base nos resultados | Pró-Reitoria de Avaliação e Planejamento - PROAP (UG),pat_aprovado,Pró-Reitoria de Avaliação e Planejamento - PROAP (UG),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",,2026,2030,
47053,0,U 1.1.1.4 - Executar pesquisa externa sobre a imagem da UFT elaborando plano de ação com base nos resultados | Superintendência de Comunicação - SUCOM (UG),pat_aprovado,Superintendência de Comunicação - SUCOM (UG),,,2026,2030,
47108,0.2,U 1.1.1.5 - Implementar processo de avaliação de disciplinas e componentes curriculares | Comissão Própria de Avaliação - CPA (UA),pat_aprovado,Comissão Própria de Avaliação - CPA (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
67337,0,U 1.1.1.5 - Implementar processo de avaliação de disciplinas e componentes curriculares | COORD POS-GRAD HISTPOPULACOES AMAZONICAS - CPN (UA),pat_aprovado,COORD POS-GRAD HISTPOPULACOES AMAZONICAS - CPN (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
67332,0,U 1.1.1.5 - Implementar processo de avaliação de disciplinas e componentes curriculares | COORD. CURSO POS-GRADUACAO LETRAS/PORTO - CPN (UA),pat_aprovado,COORD. CURSO POS-GRADUACAO LETRAS/PORTO - CPN (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
67367,0.3667,U 1.1.1.5 - Implementar processo de avaliação de disciplinas e componentes curriculares | Coordenação do Curso de Doutorado em Educação - Palmas (UA),pat_aprovado,Coordenação do Curso de Doutorado em Educação - Palmas (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
67305,0,"U 1.1.1.5 - Implementar processo de avaliação de disciplinas e componentes curriculares | Coordenação do Curso de Mestrado em Biodiversidade, Ecologia e Conservação - Porto Nacional (UA)",pat_aprovado,"Coordenação do Curso de Mestrado em Biodiversidade, Ecologia e Conservação - Porto Nacional (UA)","1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
75302,0,U 1.1.1.5 - Implementar processo de avaliação de disciplinas e componentes curriculares | Coordenação do Curso de Mestrado em Gestão e Regulação de Recursos Hídricos (UA),pat_aprovado,Coordenação do Curso de Mestrado em Gestão e Regulação de Recursos Hídricos - CUP - Palmas (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
67327,0,U 1.1.1.5 - Implementar processo de avaliação de disciplinas e componentes curriculares | Coordenação do Curso de Mestrado em Serviço Social - Miracema (UA),pat_aprovado,Coordenação do Curso de Mestrado em Serviço Social - Miracema (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
75307,0,U 1.1.1.5 - Implementar processo de avaliação de disciplinas e componentes curriculares | Coordenação do Curso de Mestrado Profissional em Artes (UA),pat_aprovado,Coordenação do Curso de Mestrado Profissional em Artes - Palmas (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
67362,0,U 1.1.1.5 - Implementar processo de avaliação de disciplinas e componentes curriculares | Coordenação do Curso de Pós-Graduação (Mestrado) Profissional em Rede Saúde da Família - Palmas (UA),pat_aprovado,Coordenação do Curso de Pós-Graduação (Mestrado) Profissional em Rede Saúde da Família - Palmas (UA),"1) Risco: 42 - Desconhecimento, pela comunidade acadêmica, do resultado das avaliações institucionais",1) AUDIN,2026,2030,
